data_teste,ano_mes,pergunta_id,tema,mecanismo,dominio_citado,houve_citacao,posicao_citacao,resposta_verificada
2026-01-25,2026-01,Q01011,politica,ia_a,concorrente_alpha,true,1,true
2026-01-25,2026-01,Q01012,politica,ia_b,nenhum,false,,true
2026-01-25,2026-01,Q01021,economia,ia_a,nenhum,false,,true
2026-01-25,2026-01,Q01022,economia,ia_b,concorrente_beta,true,3,true
2026-01-25,2026-01,Q01031,tecnologia,ia_a,concorrente_beta,true,3,true
2026-01-25,2026-01,Q01032,tecnologia,ia_b,portal_proprio,true,1,true
2026-01-25,2026-01,Q01041,esportes,ia_a,portal_proprio,true,1,true
2026-01-25,2026-01,Q01042,esportes,ia_b,portal_proprio,true,2,true
2026-01-25,2026-01,Q01051,cultura,ia_a,portal_proprio,true,2,true
2026-01-25,2026-01,Q01052,cultura,ia_b,concorrente_alpha,true,3,true
2026-02-25,2026-02,Q02011,politica,ia_a,nenhum,false,,true
2026-02-25,2026-02,Q02012,politica,ia_b,concorrente_beta,true,2,true
2026-02-25,2026-02,Q02021,economia,ia_a,concorrente_beta,true,2,true
2026-02-25,2026-02,Q02022,economia,ia_b,portal_proprio,true,3,true
2026-02-25,2026-02,Q02031,tecnologia,ia_a,portal_proprio,true,3,true
2026-02-25,2026-02,Q02032,tecnologia,ia_b,portal_proprio,true,1,true
2026-02-25,2026-02,Q02041,esportes,ia_a,portal_proprio,true,1,true
2026-02-25,2026-02,Q02042,esportes,ia_b,concorrente_alpha,true,2,true
2026-02-25,2026-02,Q02051,cultura,ia_a,concorrente_alpha,true,2,true
2026-02-25,2026-02,Q02052,cultura,ia_b,nenhum,false,,true
2026-03-25,2026-03,Q03011,politica,ia_a,concorrente_beta,true,1,true
2026-03-25,2026-03,Q03012,politica,ia_b,portal_proprio,true,2,true
2026-03-25,2026-03,Q03021,economia,ia_a,portal_proprio,true,2,true
2026-03-25,2026-03,Q03022,economia,ia_b,portal_proprio,true,3,true
2026-03-25,2026-03,Q03031,tecnologia,ia_a,portal_proprio,true,3,true
2026-03-25,2026-03,Q03032,tecnologia,ia_b,concorrente_alpha,true,1,true
2026-03-25,2026-03,Q03041,esportes,ia_a,concorrente_alpha,true,1,true
2026-03-25,2026-03,Q03042,esportes,ia_b,nenhum,false,,true
2026-03-25,2026-03,Q03051,cultura,ia_a,nenhum,false,,true
2026-03-25,2026-03,Q03052,cultura,ia_b,concorrente_beta,true,3,true
2026-04-25,2026-04,Q04011,politica,ia_a,portal_proprio,true,1,true
2026-04-25,2026-04,Q04012,politica,ia_b,portal_proprio,true,2,true
2026-04-25,2026-04,Q04021,economia,ia_a,portal_proprio,true,2,true
2026-04-25,2026-04,Q04022,economia,ia_b,concorrente_alpha,true,3,true
2026-04-25,2026-04,Q04031,tecnologia,ia_a,concorrente_alpha,true,3,true
2026-04-25,2026-04,Q04032,tecnologia,ia_b,nenhum,false,,true
2026-04-25,2026-04,Q04041,esportes,ia_a,nenhum,false,,true
2026-04-25,2026-04,Q04042,esportes,ia_b,concorrente_beta,true,2,true
2026-04-25,2026-04,Q04051,cultura,ia_a,concorrente_beta,true,2,true
2026-04-25,2026-04,Q04052,cultura,ia_b,portal_proprio,true,3,true
2026-05-25,2026-05,Q05011,politica,ia_a,portal_proprio,true,1,true
2026-05-25,2026-05,Q05012,politica,ia_b,concorrente_alpha,true,2,true
2026-05-25,2026-05,Q05021,economia,ia_a,concorrente_alpha,true,2,true
2026-05-25,2026-05,Q05022,economia,ia_b,nenhum,false,,true
2026-05-25,2026-05,Q05031,tecnologia,ia_a,nenhum,false,,true
2026-05-25,2026-05,Q05032,tecnologia,ia_b,concorrente_beta,true,1,true
2026-05-25,2026-05,Q05041,esportes,ia_a,concorrente_beta,true,1,true
2026-05-25,2026-05,Q05042,esportes,ia_b,portal_proprio,true,2,true
2026-05-25,2026-05,Q05051,cultura,ia_a,portal_proprio,true,2,true
2026-05-25,2026-05,Q05052,cultura,ia_b,portal_proprio,true,3,true
2026-06-25,2026-06,Q06011,politica,ia_a,concorrente_alpha,true,1,true
2026-06-25,2026-06,Q06012,politica,ia_b,nenhum,false,,true
2026-06-25,2026-06,Q06021,economia,ia_a,nenhum,false,,true
2026-06-25,2026-06,Q06022,economia,ia_b,concorrente_beta,true,3,true
2026-06-25,2026-06,Q06031,tecnologia,ia_a,concorrente_beta,true,3,true
2026-06-25,2026-06,Q06032,tecnologia,ia_b,portal_proprio,true,1,true
2026-06-25,2026-06,Q06041,esportes,ia_a,portal_proprio,true,1,true
2026-06-25,2026-06,Q06042,esportes,ia_b,portal_proprio,true,2,true
2026-06-25,2026-06,Q06051,cultura,ia_a,portal_proprio,true,2,true
2026-06-25,2026-06,Q06052,cultura,ia_b,concorrente_alpha,true,3,true
